society,pop_res1,pol_cent,commsize_scale,ext_hier,PC1,agr_ins,agr,mil_org,sac_scale,Region,sacrifice_description,sac.source
Canela/Timbira,2,1,2,0,-2.400027796,3,-0.132075237,1,2,Eastern South America,"""Ribeiro, familiar with Timbira warfare through long years of personal experience, unreservedly bears witness to the great bravery of these Indians...Man to man, there seem to be few men able to vie with them in point of bravery. Even the women are not inferior in robustness and we have seen one such brought in as a captive who tried to escape by dragging along her guard under her arm and would have succeeded if he had not received aid...In 1801 we observed the courage with which a Capiekrans [=R_mk_'kamekra] Indian defended his liberty against twelve soldiers who had surprised him almost unarmed and had rather the satisfaction of cruelly cutting him to pieces than the glory of capturing him."" (Nimuendaju 1946: 150)","Nimuendaju, Curt, and Robert Harry Lowie. 1946. “The Eastern Timbira.” In University of California Publications in American Archaeology and Ethnology, vol. 41:x, 357 , 42 plates. Berkeley And Los Angeles: Universtiy of California Press. https://ehrafworldcultures.yale.edu/document?id=so08-001"
CnQingE,8,5,2,5,3.206498795,6,1.637732944,1,3,East Asia,"“The second rhetorical element of the intimate Manchu style dwelled on duty to family and to the gurun [country, nation, people, dynasty]. This sort of obligation differed from Chinese filial piety in at least two important ways: first, it did not seek to ground itself in the classic teachings of the Confucian tradition; second, in stressing one's duty to one's forefathers, it simultaneously emphasized one's responsibility to posterity...Such a message reminded Manchu officials that their personal reputations as well as the fortunes of the dynasty—and, by extension, all Manchus—was in their hands. It was up to them to maintain the conquest legacy left by earlier generations and to leave a respectable military and administrative apparatus to the next generation.” (Elliot 2001: 165)","Elliott, Mark C. 2001. The Manchu Way: The Eight Banners and Ethnic Identity in Late Imperial China. Stanford, Ca: Stanford University Press. https://ehrafworldcultures.yale.edu/document?id=ag04-037."
Dogon,5,2,2,1,-0.461916729,5,1.047796883,0,1,Western Africa,"""an expedition was organized under the leadership of a head...the courageous man chosen by public opinion for his bravery. The importance that the Dogon attach to military prestige even made the pursuit of this honor a source of always latent conflicts...The sudden attack of a small group, a favorite tactic of the Dogon, often ended indecisively; each of the opposing parties could thus consider itself victorious and return to its village with head high. Their instinct for self-preservation tempered the ardor of the warriors, who tried to obtain the greatest possible prestige with the least danger; accordingly, these expeditions were not very deadly and the encounters were of brief duration: the sight of the first wounded or the first dead often gave the signal for the retreat."" (Paulme & Schütze 1940: 259)","Paulme, Denise, and Freida Schütze. 1940. “Social Organization of the Dogon (French Sudan).” In . Paris: éditions Domat-Montchrestien, F. Loviton et Cie. https://ehrafworldcultures.yale.edu/document?id=fa16-002."
DzTahrt,6,4,2,3,2.03829796,6,1.637732944,1,4,Northwest Africa,"importance of martyrdom, expressions of longing for death (Gaiser 2010)","Gaiser, Adam. Muslims, Scholars, Soldiers. Oxford University Press, 2010. https://doi.org/10.1093/acprof:oso/9780199738939.001.0001"
EcJivaE,3.5,1,0,0,-2.28295906,3,-0.132075237,0,3,Western South America,"""But if a real combat and hand-to-hand fighting ensue, the Jibaro warrior often displays both valour and contempt of death, a fact that is fully proved by the history of the Indians. Not to take flight, not to abandon his comrades in such a situation, but gallantly to meet the enemy with lance and shield, is the ambition of every real Jibaro warrior, and, as we have seen, the education of the boys from the beginning aims at imparting to them the qualities necessary for such behaviour.” (Karsten 1935: 282)","Boehm, Christopher. Blood Revenge: The Enactment and Management of Conflict in Montenegro and Other Tribal Societies. 2nd pbk. ed. The University of Pennsylvania Press Publications in Ethnohistory. Philadelphia, PA: University of Pennsylvania Press, 1987. ; Karsten, Rafael. “The Head-Hunters of Western Amazonas: The Life and Culture of the Jibaro Indians of Eastern Ecuador and Peru,” Commentationes humanarum litterarum, 1935. https://ehrafworldcultures.yale.edu/document?id=sd09-001."
Ganda,6,5,6,3,2.917756983,5,1.047796883,1,3,Eastern Africa,"""A chief known for his fearlessness, and one who had shown ability in the past as leader, was chosen. This man, when announced, came forward to thank the King for the honour done to him, because the post of general was much coveted, even though it carried with it serious responsibilities...he went down on his knees, saying: “I am a man; I will either kill every enemy I meet, or die in the attempt; I will not return empty-handed.”' (Roscoe 1911: 348)","Roscoe, John. 1911. The Baganda: An Account of Their Native Customs and Beliefs. London: Macmillan and Co. https://ehrafworldcultures.yale.edu/document?id=fk07-002"
GhAshnL,5,4,6,2,1.694951808,3,-0.132075237,1,4,Western Africa,"“The Asante showed the value attached to bravery in war by elevating certain Asante as folk heroes and according their descendants unique privileges. An occupant of the Kumawu stool, Tweneboa Kodua, is said to have agreed to have himself sacrificed so the Asante could defeat the Denkyera army. Consequently, his descendants are to this day accorded the privilege of freedom from execution by the sword. The name of Tweneboa Kodua is known to every Asante as the archetypical Asante patriot…Even if the stories of Tweneboa Kodua and the Adontenhene are legends, they emphasize the value of altruistic suicide, and also the weight attached to bravery to other Asante.” (Arhin 1980/2002 p.25)","Arhin, Kwame. “Asante Military Institutions.” Journal of African Studies 7, no. 1 (1980). https://search.proquest.com/docview/1303250268/fulltext/F613933B1D05436APQ/1?accountid=13042&imgSeq=1."
Gheg,3,3,3,2,-0.102365052,5,1.047796883,0,4,Europe,"“From first to last the primary function of a bajraktar was military. When one learned that war was imminent and troops were required, he had immediately to inform the tribe in the first instance by firing eight shots in quick succession into the air, and in the second by sending out the official runner called kasnec with news and a statement of how many men were wanted. One from each house was the usual number. The muster was soon complete, for it was thought shameful to hang back or to hide at home and no time was wasted hunting for deserters...Any sign of depression at leaving their homes would have been thought disgraceful and unmanly. The best warriors among them had the bajraktar in their midst and would guard him and the flag with their lives till they all came marching home again."" (Hasluck 1954: 119)","Hasluck, Margaret Masson Hardie, and J. H. (John Henry) Hutton. 1954. The Unwritten Law in Albania. Cambridge: University Press. https://ehrafworldcultures.yale.edu/document?id=eg01-010."
Guarani,4,3,2,1,-0.366674732,3,-0.132075237,0,4,Eastern South America,"""The Indians readily volunteered for this service because they could continue their warrior traditions through this new institution in the reducciones. Bravery and courage were traditional social values among the Guaraní, as recorded by Montoya in his Guaraní dictionary ( Abá eté for example, meant a “courageous man” in their native language) (109)...Many of the Indians fled into the hills but most remained, determined not to cede any of their territory to the Europeans.[unknown] Neenguirú decided that it was not the time to surrender and that it was better to die fighting rather than retreat into the woods...Greatly outnumbered and lacking leadership and reinforcements, the mission Indians continued to fight but soon were overwhelmed by the invading armies. Nearly six hundred Indian soldiers died on the battlefield, and one hundred and fifty were taken as prisoners.” (Ganson 1994: 272-5)","Ganson, Barbara Anne. 1994. Better Not Take My Manioc: Guarani Religion, Society, and Politics in the Jesuit Missions of Paraguay. Ann Arbor, Michigan: UMI. https://ehrafworldcultures.yale.edu/document?id=sm04-008"
IdBrokE,2,2,1,0,-2.156838195,3,-0.132075237,0,2,Southeast Asia,"(see evidence from AN case study, throat tattoos, etc.) “It is presumed that a man who has secured a human head must necessarily be brave. But this need not be the case at all, for, as has been said, the head of a woman or child will serve the purpose. And these heads need not be obtained in open warfare. Very often the head of an enemy is taken while he is asleep. Nor is it necessary that a man should kill his victim with his own hand. Frequently many of his friends assist him in killing some unfortunate man whom they have waylaid, and then he comes home with the head, and poses as a hero!” (Gomes 1911: 75)","Gomes, Edwin H. 1911. Seventeen Years among the Sea Dyaks of Borneo: A Record of Intimate Association with the Natives of the Bornean Jungles. London, England: Seeley & Co., Ltd. https://ehrafworldcultures.yale.edu/document?id=oc06-007"
Ifagao,5,1,2,0,-1.327068957,6,1.637732944,0,2,Oceania,"References to voluntary risk and danger in penetrating enemy territory for heads/vengeance, but nothing referring to sacrifice or altruism on behalf of others, just personal prestige. “It takes a deep-rooted valor to penetrate an enemy region in small force, barefooted and armed only with spear, knife, and shield. It is not surprising that after he gets there the Ifugao believes in shifting all possible risk to his victim. He intends always to attack in superior force and from ambush.” (Barton 1930: 154)","Barton, Roy Franklin. 1930. The Half-Way Sun: Life among the Headhunters of the Philippines. New York: Brewer & Warren, Inc. https://ehrafworldcultures.yale.edu/document?id=oa19-012"
Igbo,5,3,4,1,0.410388897,4,0.457860823,1,3,Western Africa,"""The fact was that a person went to war to kill or get killed and when none of the two happened, the person went to somewhere else to resettle. He could not stand the humiliation back home"" (Onuora 2016: 29). ""Conditions of this kind prevailed int he Cross River area before and about the time of the arrival of the Ohafia people; the only difference was that in the absence of pastoral life in this thickly forested area, the place of cattle-raides was takeb by raids into the farms and palm-tree groves of one group by its neighbours. Such raids were usually occasioned by drought, seasonal hunger, or the failure of crops; but they were also among the conventional ways in which men asserted their manhood, in the heroic age. But by far the most impoetant way of asserting one's manhood was by risking death in order to ward off the attacks of hostile neighbours and wild animals on the community to which one belonged."" (Azuonye 1990: 13-14)","Onuora, Chijike. “IKORO DRUMS AMONG THE IGBO: ICONOLOGY AND DESIGN SYMBOLS” 5, no. 1 (2016)."
Ila,4,2,3,1,-0.609864334,3,-0.132075237,0,3,Southern Africa,"“Sebitwane settled for a time at Kapoli near Kalomo and imposed his rule upon the tribes around, but the Ba-ila were not easily subdued. He went against them, first to Kasenga, where, after a day's fighting and heavy losses, they were defeated...Sebitwane proceeded to Nyambo, where the Ba-ila offered great resistance, but after three days' fighting he defeated them.” (Smith 1920: 29)","Smith, Edwin William, and Dale, Andrew Murray, d. 1919. 1920. The Ila-Speaking Peoples of Northern Rhodesia: Vol. 1. London: MacMillan and Co. https://ehrafworldcultures.yale.edu/document?id=fq06-001"
Inupiaq,2,1,0,0,-2.819438479,1,-1.311947358,0,1,Northwest America,"""Burch 100:103 gives detailed accounts of several large raids. For example, raiding party of 350_400 men attacked a village of about 600 people. The attackers wore camouflaged clothing and came bare-footed to minimize the chance their approach would be heard.However, they were spotted, and the Point Hope villagers poured out and attacked the raiders who retreated onto a field studded with bowlescaribou spikes rendering many of them helpless. Their comrades fled leaving the injured to be killed by the defenders"". “Iñupiat rarely gave up without a fight. After spending several years dealing with people in various parts of northwestern Alaska around the middle of the 19th century, John Simpson formed the opinion that ""if once engaged in a fight they would not readily give in, at least if there was anything like equality of weapons; and, under any circumstances, they might be expected to defend their homes to the last extremity"" (1875:248). Even a successful raid often resulted in casualties for the aggressors.” (Burch 2005: 100-101)","Boyd, Robert, and Peter J. Richerson. “Large_scale Cooperation in Small_scale Foraging Societies.” Evolutionary Anthropology: Issues, News, and Reviews 31, no. 4 (2022): 175–98. https://doi.org/10.1002/evan.21944."
ItOstrg,6,4,7,3,2.674567382,4,0.457860823,1,4,Europe,"“After the death of their king the Goths fought on until Narses guaranteed their return to their “proper land” (______ ____) if they promised to become faithful subjects of the emperor. On this assurance the remainder of the Gothic army surrendered and submitted, expect for a band of a thousand warriors that Indulf, the former buccellarius of Belisarius, freed form the Roman pincer movement and led across Italy to Pavia…Then began the “heroism after the final curtain,” which individual Gothic commanders kept up for three years in the hope of a resurrection of their gens.” (Wolfram 1990: 361). "" The men accompanying Totila in his desperate charge at Busta Gallorum or who died with TeÔas in the cataclysmic battle of Mons Lactarius were doubtless the Goth's best warriors. Others still died in the disastrous naval defeat of Sena Gallica in the Adriatic. That these defeats effectively ended Gothic resistance is considerably less surprising than the fact that it took three bloody engagements to do so and that some Gothic garrisons continued to hold out even then."" (Halsall 2016: 18, 'The Ostrogothic Military')","Halsall, Guy Richard William. “The Ostrogothic Military.” edited by Jonathan Arnold, Shane Bjornlie, and Kristina Sessa, 173–99. Leiden: Brill, 2016. https://eprints.whiterose.ac.uk/110306/. ; Wolfram, Herwig. History of the Goths. New and Completely rev. from the second German ed. Berkeley: Univ. of California Pr, 1987."
JpKamak,6,5,7,4,3.53971961,6,1.637732944,1,2,East Asia,seemingly ambivalent attitude towards both killing and dying; not necessarily motivated by loyalty or cohesion (Friday 2003),"Friday, Karl F. Samurai, Warfare and the State in Early Medieval Japan., 2003. https://ebookcentral.proquest.com/lib/uqac-ebooks/detail.action?docID=5292574."
Kapauku/Mee,4,2,1,1,-1.029275017,3,-0.132075237,0,3,Oceania,"casualties and elmination of adult males a possibility and mobilization based on obligations to relatives and friends. jape uu me (brave men) do not carry shields and lead forces from the front (Pospisil 1993, 1958)","Pospisil, Leopold J. 1958. “Kapauku Papuans and Their Law.” In Yale University Publications in Anthropology, 296 , plates. New Haven, Conn.: Published for the Dept. Anthropology, Yale University. https://ehrafworldcultures.yale.edu/document?id=oj29-001"
Khasi,5,3,1,1,-0.218727128,3,-0.132075237,0,1,Southern Asia,"""Each state acted independently in terms of traditional relationships and what were perceived to be its own interests. When Sngap [Page 22] Sing of Maharam State continued the struggle no one came to his side. In the Jaintia area U Kiang Nangbah had to fight alone with his Jaintia allies, betrayed by his own people. This makes it clear that there was no political cohesion, no sense of a common interests or of common identity. This again re-enforces the conclusion that whatever it was that contributed ultimately to a sense of Khasi-Jaintia identity it did not lie in the traditional political structures."" (Snaitang 1993: 21)","Snaitang, O. L. 1993. Christianity and Social Change in Northeast India: A Study of the Role of Christianity in Social Change among the Khasi-Jaintia Hill Tribes of Meghalaya. Shillong: Vendrame Institute_; Firma KLM Private Ltd. https://ehrafworldcultures.yale.edu/document?id=ar07-022"
Khoqand Khanate,6,4.5,6.5,4,3.208419468,6,1.637732944,1,1,Middle Asia,"“Given a history of prewar violent repression, skewed military recruitment, and the mobility of repressed (nomadic) calvary, it is unsurprising that desertion from Khoqand’s ranks was rampant. I estimate that 30-40% of Khoqand’s total mobilized force deserted during the war…Khoqand’s army completely broke at Tashkent. An estimated two-thirds of its remaining 30,000 defenders deserted as Russian forces stormed the city, including the aforementioned 5,000 calvary who drowned while fleeing (Terent’ev, 1906, 313-320)…Khoqand’s forces were mostly unwilling to stand against concentrated Russian fire at close-range. Morale was generally low, and fortresses were often abandoned after a few hours of fighting. Despite enjoying highly favorable force ratios, Khoqand’s ranks were characterized by “great disorder” and “terrible panic” even after only minimal casualties. Instead, groups of soldiers would use the opportunity of a chaotic battlefield (or nighttime respites) to sneak away (see, for example, Bababekov 2006b, 19 and Tashkandi 2003, 64-65).” (Lyall 2016: 34)","Lyall, Jason. “Why Armies Break: Explaining Mass Desertion in Conventional War.” SSRN Scholarly Paper. Rochester, NY, November 14, 2016. https://doi.org/10.2139/ssrn.2524561."
Klamath,3,2,0,0,-2.00889059,1,-1.311947358,0,3,Western North America,"references to tribal loyalties and solidarity, risk of death ""Nevertheless, the cohesion rising from a common dialect, common culture, and a uniform reaction against all nontribesmen, which on occasion leads to jointly taking the field against them, produces a tribal solidarity resembling that of the Plains people"" (Spier 1930: 24)","Spier, Leslie. 1930. “Klamath Ethnography.” In Publications in American Archaeology and Ethnology, vol. 30:x, 338. Berkeley, Calif.: University of California Press. https://ehrafworldcultures.yale.edu/document?id=nr10-001."
Koryak,3,2,2,0,-1.589479907,1,-1.311947358,0,4,Northern Asia,"“During the time of the subjection of the Koryak, full-grown men in the villages or camps, unable to withstand longer the besieging Russians, often killed their dogs or reindeer, their women and children, and finally themselves, if they could not escape by flight. Such a state of things discouraged even the conquerors. Similar instances of wild self-destruction while battling for their freedom occurred later on as well, when the Russians were suppressing the Koryak rebellions."" Jochelson 1905-1908: 422","Jochelson, Waldemar. 1905–1908. “The Koryak.” In Publications of the Jesup North Pacific Expedition, vol. x:xv, 842. Leiden: E. J. Bril_; G. E. Stechert. https://ehrafworldcultures.yale.edu/document?id=ry04-001."
Kurds,6,4,6,2,2.052604755,6,1.637732944,0,4,Western Asia,"""The popular Kurdish term peshmerga is commonly used for the guerrillas and militias in Iraqi Kurdistan, but is also spreading to other Kurdish groups outside Iraq. The term means “self-sacrificer.” It is one of strong affection, even romance. It is used often by Kurdish mothers, vowing to become their children's peshmerg , i.e., to give their life for the health and security of their children. The term and concept have deep roots in Kurdish history. References to these guerrilla/militia forces in Kurdistan are encountered twice in the present work: in ancient times, during the Median campaigns in Assyria, and in classical times, when Kurds were defending themselves against the Persian Sasanian king Ardashir I"" (Izady 1992: 209)","Izady, Mehrdad R. 1992. The Kurds: A Concise Handbook. Washington, D.C.: Crane Russak, Taylor & Francis International Publishers. https://ehrafworldcultures.yale.edu/document?id=ma11-012"
Lau Fijians,3,3,1,2,-0.521775735,3,-0.132075237,0,1,Oceania,“Tales of warfare are full of treachery. The object was to outwit the opponent and save one's own skin. To risk one's life was considered stupid. Attacks were usually launched only by forces superior in strength to those of the defendants. Otherwise an attempt was made to lure the leaders into ambush and to attack them singly or in groups.” (Thompson 1940: 103),"Thompson, Laura. 1940. “Southern Lau, Fiji: An Ethnography.” In Bulletin, iv, 228 , 5 plates. Honolulu, Hawaii: Bernice P. Bishop Museum. https://ehrafworldcultures.yale.edu/document?id=oq06-002 "
Maasai,4,2,1,1,-1.029275017,1,-1.311947358,1,4,Eastern Africa,"""Self-denial and courage are linked as the principal altruistic virtues of moranhood, combined in the notion of someone who places himself at risk for others, as in a lion hunt. In the distribution of war gains in the past, the principal shares went to those who had taken the brunt of the fighting and the risks"" (Spencer 1988: 118)","Spencer, Paul. 1988. “The Maasai of Matapato: A Study of Rituals of Rebellion.” In International African Library, [xiv], [297]. Bloomington, Ind.: Indiana University Press. https://ehrafworldcultures.yale.edu/document?id=fl12-020"
